id,male,age,yrsmarr,kids,relig,educ,occup,ratemarr,naffairs,affair,vryhap,hapavg,avgmarr,unhap,vryrel,smerel,slghtrel,notrel
4,1,37.00,10.00,0,3,18,7,4,0,0,0,1,0,0,0,0,1,0
5,0,27.00,4.00,0,4,14,6,4,0,0,0,1,0,0,0,1,0,0
6,1,27.00,1.50,0,3,18,4,4,3,1,0,1,0,0,0,0,1,0
11,0,32.00,15.00,1,1,12,1,4,0,0,0,1,0,0,0,0,0,0
12,0,27.00,4.00,1,3,17,1,5,3,1,1,0,0,0,0,0,1,0
16,1,57.00,15.00,1,5,18,6,5,0,0,1,0,0,0,1,0,0,0
23,1,22.00,0.75,0,2,17,6,3,0,0,0,0,1,0,0,0,0,1
29,0,32.00,1.50,0,2,17,5,5,0,0,1,0,0,0,0,0,0,1
43,1,37.00,15.00,1,5,18,6,2,7,1,0,0,0,1,1,0,0,0
44,0,22.00,0.75,0,2,12,1,3,0,0,0,0,1,0,0,0,0,1
45,1,57.00,15.00,1,2,14,4,4,0,0,0,1,0,0,0,0,0,1
47,0,32.00,15.00,1,4,16,1,2,0,0,0,0,0,1,0,1,0,0
49,1,22.00,1.50,0,4,14,4,5,0,0,1,0,0,0,0,1,0,0
50,1,37.00,15.00,1,2,20,7,2,0,0,0,0,0,1,0,0,0,1
53,0,32.00,10.00,1,3,17,5,2,12,1,0,0,0,1,0,0,1,0
55,1,27.00,4.00,1,4,18,6,4,0,0,0,1,0,0,0,1,0,0
64,1,47.00,15.00,1,5,17,6,4,0,0,0,1,0,0,1,0,0,0
67,1,22.00,0.13,0,4,16,5,5,1,1,1,0,0,0,0,1,0,0
79,0,22.00,1.50,1,2,14,1,5,1,1,1,0,0,0,0,0,0,1
80,0,22.00,1.50,0,2,17,5,4,0,0,0,1,0,0,0,0,0,1
86,0,27.00,4.00,0,4,14,5,4,0,0,0,1,0,0,0,1,0,0
93,0,37.00,15.00,1,1,17,5,5,0,0,1,0,0,0,0,0,0,0
108,0,37.00,15.00,1,2,18,4,3,0,0,0,0,1,0,0,0,0,1
114,0,22.00,0.75,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
115,0,22.00,1.50,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
116,0,27.00,10.00,1,2,14,1,5,0,0,1,0,0,0,0,0,0,1
122,1,37.00,15.00,1,4,14,5,2,12,1,0,0,0,1,0,1,0,0
123,0,22.00,1.50,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
126,0,22.00,1.50,0,2,14,3,4,7,1,0,1,0,0,0,0,0,1
127,0,22.00,1.50,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
129,0,27.00,10.00,1,4,16,5,4,0,0,0,1,0,0,0,1,0,0
133,1,37.00,15.00,1,2,18,6,4,2,1,0,1,0,0,0,0,0,1
134,0,32.00,10.00,1,3,14,1,5,0,0,1,0,0,0,0,0,1,0
137,1,37.00,4.00,1,2,20,6,4,0,0,0,1,0,0,0,0,0,1
138,0,32.00,15.00,1,4,12,3,2,3,1,0,0,0,1,0,1,0,0
139,0,22.00,1.50,0,2,18,5,5,0,0,1,0,0,0,0,0,0,1
147,0,27.00,7.00,0,4,16,1,5,0,0,1,0,0,0,0,1,0,0
151,1,42.00,15.00,1,5,20,6,4,0,0,0,1,0,0,1,0,0,0
153,1,27.00,4.00,1,3,16,5,5,0,0,1,0,0,0,0,0,1,0
154,0,37.00,15.00,1,4,14,4,2,1,1,0,0,0,1,0,1,0,0
155,0,27.00,4.00,1,3,17,5,4,0,0,0,1,0,0,0,0,1,0
159,0,42.00,15.00,1,3,17,1,4,7,1,0,1,0,0,0,0,1,0
162,1,42.00,15.00,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
163,0,22.00,1.50,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
165,1,27.00,0.42,0,4,17,6,4,0,0,0,1,0,0,0,1,0,0
168,0,42.00,15.00,1,5,14,5,4,0,0,0,1,0,0,1,0,0,0
170,1,32.00,4.00,1,1,18,6,4,0,0,0,1,0,0,0,0,0,0
172,0,22.00,1.50,0,4,16,5,3,0,0,0,0,1,0,0,1,0,0
174,0,42.00,15.00,1,5,9,4,1,12,1,0,0,0,0,1,0,0,0
176,1,37.00,10.00,1,2,20,6,2,12,1,0,0,0,1,0,0,0,1
181,0,32.00,15.00,1,3,14,1,2,12,1,0,0,0,1,0,0,1,0
182,1,27.00,4.00,0,1,18,6,5,3,1,1,0,0,0,0,0,0,0
184,0,42.00,15.00,1,3,12,1,4,0,0,0,1,0,0,0,0,1,0
186,1,37.00,10.00,1,2,18,7,3,7,1,0,0,1,0,0,0,0,1
187,0,22.00,4.00,0,4,17,5,5,0,0,1,0,0,0,0,1,0,0
189,0,27.00,4.00,0,3,17,5,5,7,1,1,0,0,0,0,0,1,0
192,1,22.00,1.50,1,1,14,3,5,0,0,1,0,0,0,0,0,0,0
194,0,22.00,0.75,0,3,16,1,5,0,0,1,0,0,0,0,0,1,0
204,1,42.00,15.00,1,4,16,5,5,1,1,1,0,0,0,0,1,0,0
210,1,32.00,10.00,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
215,0,47.00,15.00,1,5,14,4,5,1,1,1,0,0,0,1,0,0,0
217,1,52.00,15.00,1,5,18,6,3,0,0,0,0,1,0,1,0,0,0
220,0,22.00,0.42,0,5,14,1,4,0,0,0,1,0,0,1,0,0,0
224,0,27.00,4.00,1,2,18,6,1,0,0,0,0,0,0,0,0,0,1
227,0,32.00,7.00,1,5,17,5,3,0,0,0,0,1,0,1,0,0,0
228,1,22.00,4.00,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
232,0,27.00,4.00,1,3,18,5,4,7,1,0,1,0,0,0,0,1,0
233,0,27.00,7.00,1,5,14,1,4,1,1,0,1,0,0,1,0,0,0
239,0,27.00,7.00,1,4,18,6,5,0,0,1,0,0,0,0,1,0,0
241,0,42.00,15.00,1,2,18,5,4,0,0,0,1,0,0,0,0,0,1
245,1,27.00,1.50,1,4,16,3,5,0,0,1,0,0,0,0,1,0,0
249,1,42.00,15.00,1,2,20,6,4,0,0,0,1,0,0,0,0,0,1
252,1,27.00,1.50,1,3,17,5,4,12,1,0,1,0,0,0,0,1,0
253,0,27.00,7.00,1,4,14,6,2,12,1,0,0,0,1,0,1,0,0
262,0,22.00,0.75,0,5,14,3,5,0,0,1,0,0,0,1,0,0,0
265,1,32.00,7.00,1,2,20,6,4,0,0,0,1,0,0,0,0,0,1
267,1,27.00,4.00,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
269,1,27.00,10.00,1,4,20,6,4,0,0,0,1,0,0,0,1,0,0
271,1,22.00,4.00,0,1,18,5,5,0,0,1,0,0,0,0,0,0,0
274,0,42.00,15.00,1,4,16,5,4,3,1,0,1,0,0,0,1,0,0
275,0,27.00,10.00,1,4,12,7,3,7,1,0,0,1,0,0,1,0,0
277,0,37.00,15.00,1,4,14,3,1,0,0,0,0,0,0,0,1,0,0
287,1,27.00,1.50,0,2,18,5,2,1,1,0,0,0,1,0,0,0,1
288,1,32.00,4.00,0,4,20,6,4,1,1,0,1,0,0,0,1,0,0
290,1,22.00,1.50,1,5,16,4,4,0,0,0,1,0,0,1,0,0,0
292,0,37.00,15.00,1,4,17,1,5,0,0,1,0,0,0,0,1,0,0
293,0,27.00,0.75,0,4,17,5,4,0,0,0,1,0,0,0,1,0,0
295,1,32.00,10.00,1,4,20,6,4,0,0,0,1,0,0,0,1,0,0
299,0,47.00,15.00,1,5,14,7,2,0,0,0,0,0,1,1,0,0,0
320,1,37.00,10.00,1,3,20,6,4,0,0,0,1,0,0,0,0,1,0
321,0,22.00,0.75,0,2,16,5,5,0,0,1,0,0,0,0,0,0,1
324,1,27.00,4.00,0,2,18,4,5,0,0,1,0,0,0,0,0,0,1
325,0,27.00,7.00,1,3,14,1,3,1,1,0,0,1,0,0,0,1,0
328,0,32.00,10.00,1,4,14,1,4,3,1,0,1,0,0,0,1,0,0
334,1,32.00,7.00,0,4,20,6,4,0,0,0,1,0,0,0,1,0,0
344,1,27.00,4.00,1,2,18,7,2,3,1,0,0,0,1,0,0,0,1
351,1,42.00,15.00,1,2,17,3,5,0,0,1,0,0,0,0,0,0,1
353,0,17.50,0.75,0,5,14,4,5,1,1,1,0,0,0,1,0,0,0
354,0,32.00,10.00,1,4,18,1,5,1,1,1,0,0,0,0,1,0,0
355,1,37.00,10.00,1,4,20,6,4,0,0,0,1,0,0,0,1,0,0
361,0,47.00,15.00,1,3,17,6,5,0,0,1,0,0,0,0,0,1,0
362,0,22.00,1.50,0,5,16,5,5,0,0,1,0,0,0,1,0,0,0
366,0,27.00,1.50,0,2,16,6,4,0,0,0,1,0,0,0,0,0,1
367,0,32.00,7.00,1,2,17,6,4,7,1,0,1,0,0,0,0,0,1
369,1,37.00,15.00,1,2,20,6,4,7,1,0,1,0,0,0,0,0,1
370,0,27.00,4.00,0,3,17,5,5,0,0,1,0,0,0,0,0,1,0
374,0,32.00,10.00,1,5,14,4,5,0,0,1,0,0,0,1,0,0,0
378,0,22.00,0.13,0,2,12,5,5,0,0,1,0,0,0,0,0,0,1
381,1,47.00,15.00,1,4,14,4,3,0,0,0,0,1,0,0,1,0,0
382,1,32.00,15.00,1,1,14,5,5,0,0,1,0,0,0,0,0,0,0
383,1,27.00,7.00,1,4,16,5,5,0,0,1,0,0,0,0,1,0,0
384,0,22.00,1.50,1,3,16,5,5,0,0,1,0,0,0,0,0,1,0
390,0,37.00,10.00,0,1,20,5,3,7,1,0,0,1,0,0,0,0,0
392,0,32.00,10.00,1,2,16,5,5,12,1,1,0,0,0,0,0,0,1
400,1,27.00,4.00,1,3,17,6,5,0,0,1,0,0,0,0,0,1,0
403,0,22.00,1.50,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
409,1,57.00,15.00,1,2,14,7,2,0,0,0,0,0,1,0,0,0,1
412,1,17.50,1.50,1,3,18,6,5,0,0,1,0,0,0,0,0,1,0
413,1,57.00,15.00,1,4,20,6,5,0,0,1,0,0,0,0,1,0,0
416,0,22.00,0.75,0,2,16,3,4,0,0,0,1,0,0,0,0,0,1
418,1,42.00,4.00,0,4,17,3,3,0,0,0,0,1,0,0,1,0,0
422,0,22.00,1.50,1,4,12,1,5,0,0,1,0,0,0,0,1,0,0
423,1,52.00,15.00,1,2,20,6,4,7,1,0,1,0,0,0,0,0,1
432,0,42.00,15.00,1,1,12,1,3,7,1,0,0,1,0,0,0,0,0
435,0,22.00,0.42,0,1,17,6,4,0,0,0,1,0,0,0,0,0,0
436,1,52.00,15.00,1,2,20,6,3,1,1,0,0,1,0,0,0,0,1
439,0,32.00,15.00,1,4,17,5,5,0,0,1,0,0,0,0,1,0,0
445,0,27.00,1.50,0,3,18,5,2,0,0,0,0,0,1,0,0,1,0
447,0,22.00,1.50,1,3,14,1,5,0,0,1,0,0,0,0,0,1,0
448,0,37.00,15.00,1,3,14,1,4,0,0,0,1,0,0,0,0,1,0
449,0,32.00,15.00,1,4,14,3,4,0,0,0,1,0,0,0,1,0,0
478,1,37.00,10.00,1,2,14,5,3,0,0,0,0,1,0,0,0,0,1
482,1,37.00,10.00,1,4,16,5,4,0,0,0,1,0,0,0,1,0,0
483,1,37.00,15.00,1,3,18,6,5,2,1,1,0,0,0,0,0,1,0
486,1,57.00,15.00,1,5,20,5,3,0,0,0,0,1,0,1,0,0,0
489,1,27.00,0.42,0,1,16,3,4,0,0,0,1,0,0,0,0,0,0
490,0,42.00,15.00,1,5,14,1,5,0,0,1,0,0,0,1,0,0,0
491,1,57.00,15.00,1,3,16,6,1,0,0,0,0,0,0,0,0,1,0
492,1,37.00,10.00,1,1,16,6,4,0,0,0,1,0,0,0,0,0,0
503,1,37.00,15.00,1,3,17,5,5,0,0,1,0,0,0,0,0,1,0
508,1,37.00,15.00,1,4,20,6,5,0,0,1,0,0,0,0,1,0,0
509,0,27.00,10.00,1,5,14,1,5,0,0,1,0,0,0,1,0,0,0
512,1,37.00,10.00,1,2,18,6,4,0,0,0,1,0,0,0,0,0,1
513,0,22.00,4.00,0,3,12,3,4,12,1,0,1,0,0,0,0,1,0
515,0,22.00,0.13,0,4,12,4,5,0,0,1,0,0,0,0,1,0,0
516,1,27.00,7.00,1,1,18,6,2,12,1,0,0,0,1,0,0,0,0
517,1,57.00,15.00,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
518,1,27.00,4.00,1,3,18,5,5,1,1,1,0,0,0,0,0,1,0
520,1,47.00,15.00,1,4,17,6,5,12,1,1,0,0,0,0,1,0,0
526,0,42.00,15.00,1,4,12,1,1,12,1,0,0,0,0,0,1,0,0
528,1,27.00,4.00,0,3,14,3,4,7,1,0,1,0,0,0,0,1,0
532,0,37.00,15.00,1,4,18,6,4,0,0,0,1,0,0,0,1,0,0
533,1,22.00,4.00,1,4,14,6,4,0,0,0,1,0,0,0,1,0,0
535,1,27.00,7.00,1,4,18,5,4,0,0,0,1,0,0,0,1,0,0
537,1,57.00,15.00,1,4,20,5,4,0,0,0,1,0,0,0,1,0,0
538,1,32.00,15.00,1,3,14,6,3,0,0,0,0,1,0,0,0,1,0
543,0,22.00,1.50,0,2,14,5,4,0,0,0,1,0,0,0,0,0,1
547,0,32.00,7.00,1,4,17,1,5,0,0,1,0,0,0,0,1,0,0
550,0,37.00,15.00,1,4,17,6,5,0,0,1,0,0,0,0,1,0,0
553,0,32.00,7.00,1,4,18,4,5,7,1,1,0,0,0,0,1,0,0
558,0,32.00,1.50,0,5,18,5,5,0,0,1,0,0,0,1,0,0,0
571,1,42.00,10.00,1,5,20,7,4,0,0,0,1,0,0,1,0,0,0
576,1,32.00,0.42,1,3,12,3,4,1,1,0,1,0,0,0,0,1,0
578,0,27.00,7.00,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
583,1,37.00,15.00,0,4,20,6,5,0,0,1,0,0,0,0,1,0,0
586,1,37.00,15.00,1,4,14,3,2,0,0,0,0,0,1,0,1,0,0
594,1,32.00,10.00,0,5,18,6,4,0,0,0,1,0,0,1,0,0,0
597,0,22.00,0.75,0,4,16,1,5,0,0,1,0,0,0,0,1,0,0
602,0,27.00,7.00,1,4,12,2,4,0,0,0,1,0,0,0,1,0,0
603,0,27.00,7.00,1,2,16,2,5,0,0,1,0,0,0,0,0,0,1
604,0,42.00,15.00,1,5,18,5,4,0,0,0,1,0,0,1,0,0,0
611,1,47.00,15.00,1,5,16,5,4,3,1,0,1,0,0,1,0,0,0
612,1,42.00,15.00,1,4,17,5,3,0,0,0,0,1,0,0,1,0,0
613,0,27.00,7.00,1,2,16,1,2,0,0,0,0,0,1,0,0,0,1
621,0,22.00,1.50,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
625,1,37.00,15.00,1,2,20,5,4,12,1,0,1,0,0,0,0,0,1
627,1,37.00,15.00,1,5,20,6,5,0,0,1,0,0,0,1,0,0,0
630,0,22.00,0.13,0,2,14,4,5,0,0,1,0,0,0,0,0,0,1
631,1,27.00,1.50,0,4,16,5,5,0,0,1,0,0,0,0,1,0,0
632,1,32.00,1.50,0,2,18,6,5,0,0,1,0,0,0,0,0,0,1
635,1,22.00,4.00,1,2,17,6,4,7,1,0,1,0,0,0,0,0,1
639,1,27.00,1.50,0,2,17,6,5,0,0,1,0,0,0,0,0,0,1
645,0,27.00,10.00,1,4,16,1,3,0,0,0,0,1,0,0,1,0,0
646,1,27.00,4.00,0,2,14,4,5,1,1,1,0,0,0,0,0,0,1
647,1,42.00,15.00,1,4,18,6,5,0,0,1,0,0,0,0,1,0,0
648,0,27.00,1.50,0,2,16,6,5,0,0,1,0,0,0,0,0,0,1
651,1,27.00,4.00,0,2,18,6,3,0,0,0,0,1,0,0,0,0,1
655,0,32.00,10.00,1,3,14,5,3,0,0,0,0,1,0,0,0,1,0
657,0,52.00,15.00,1,5,16,1,3,7,1,0,0,1,0,1,0,0,0
659,1,27.00,4.00,0,3,14,3,3,1,1,0,0,1,0,0,0,1,0
666,0,27.00,10.00,1,4,16,1,4,1,1,0,1,0,0,0,1,0,0
667,0,32.00,15.00,1,3,18,5,4,0,0,0,1,0,0,0,0,1,0
670,0,22.00,0.75,0,2,18,6,5,0,0,1,0,0,0,0,0,0,1
671,0,37.00,15.00,1,2,16,1,4,0,0,0,1,0,0,0,0,0,1
673,1,27.00,4.00,1,4,20,5,5,0,0,1,0,0,0,0,1,0,0
679,1,32.00,7.00,1,3,14,7,4,1,1,0,1,0,0,0,0,1,0
701,1,27.00,4.00,0,1,20,5,4,0,0,0,1,0,0,0,0,0,0
705,0,27.00,10.00,1,2,12,1,4,0,0,0,1,0,0,0,0,0,1
706,0,32.00,15.00,1,5,18,6,4,0,0,0,1,0,0,1,0,0,0
709,1,27.00,7.00,1,5,12,5,3,0,0,0,0,1,0,1,0,0,0
717,1,52.00,15.00,1,2,18,5,4,0,0,0,1,0,0,0,0,0,1
719,1,27.00,4.00,0,3,20,6,3,0,0,0,0,1,0,0,0,1,0
723,1,37.00,4.00,1,1,18,5,4,0,0,0,1,0,0,0,0,0,0
724,1,27.00,4.00,1,4,14,5,4,0,0,0,1,0,0,0,1,0,0
726,0,52.00,15.00,1,5,12,1,3,0,0,0,0,1,0,1,0,0,0
729,1,32.00,7.00,1,2,18,4,1,7,1,0,0,0,0,0,0,0,1
734,0,57.00,15.00,1,4,16,6,4,0,0,0,1,0,0,0,1,0,0
735,1,27.00,7.00,1,1,16,5,4,0,0,0,1,0,0,0,0,0,0
736,1,37.00,7.00,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
737,1,22.00,0.75,0,2,14,4,3,0,0,0,0,1,0,0,0,0,1
739,1,32.00,4.00,1,2,18,5,3,0,0,0,0,1,0,0,0,0,1
743,1,37.00,15.00,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
745,1,22.00,0.75,1,2,14,4,3,0,0,0,0,1,0,0,0,0,1
747,1,42.00,15.00,1,4,20,6,3,0,0,0,0,1,0,0,1,0,0
751,0,52.00,15.00,1,5,17,1,1,0,0,0,0,0,0,1,0,0,0
752,0,37.00,15.00,1,4,14,1,2,0,0,0,0,0,1,0,1,0,0
754,1,27.00,7.00,1,4,14,5,3,0,0,0,0,1,0,0,1,0,0
755,1,22.00,1.50,0,1,14,3,2,3,1,0,0,0,1,0,0,0,0
758,1,22.00,4.00,1,3,18,6,4,7,1,0,1,0,0,0,0,1,0
760,1,32.00,4.00,1,2,16,5,5,0,0,1,0,0,0,0,0,0,1
763,0,27.00,4.00,1,2,18,6,5,0,0,1,0,0,0,0,0,0,1
770,1,42.00,15.00,1,4,20,6,4,7,1,0,1,0,0,0,1,0,0
774,0,27.00,4.00,1,2,18,5,5,0,0,1,0,0,0,0,0,0,1
776,1,37.00,15.00,1,5,18,6,5,0,0,1,0,0,0,1,0,0,0
779,0,47.00,15.00,1,5,12,5,4,0,0,0,1,0,0,1,0,0,0
784,0,32.00,10.00,1,3,17,1,4,0,0,0,1,0,0,0,0,1,0
786,0,57.00,15.00,1,1,18,5,4,2,1,0,1,0,0,0,0,0,0
788,0,27.00,1.50,1,4,17,1,2,0,0,0,0,0,1,0,1,0,0
794,0,57.00,15.00,1,2,18,5,2,0,0,0,0,0,1,0,0,0,1
795,0,22.00,1.50,0,4,14,5,4,0,0,0,1,0,0,0,1,0,0
797,0,32.00,4.00,1,3,18,5,2,7,1,0,0,0,1,0,0,1,0
798,1,42.00,15.00,1,3,14,3,4,0,0,0,1,0,0,0,0,1,0
800,1,57.00,15.00,1,4,9,2,2,0,0,0,0,0,1,0,1,0,0
803,1,57.00,15.00,1,4,20,6,5,0,0,1,0,0,0,0,1,0,0
807,0,22.00,0.13,0,4,14,4,5,0,0,1,0,0,0,0,1,0,0
811,1,27.00,4.00,1,1,16,4,4,1,1,0,1,0,0,0,0,0,0
812,0,32.00,10.00,1,4,14,1,5,0,0,1,0,0,0,0,1,0,0
820,0,42.00,15.00,1,3,18,5,4,0,0,0,1,0,0,0,0,1,0
823,0,27.00,1.50,0,2,18,6,5,0,0,1,0,0,0,0,0,0,1
830,1,32.00,0.13,1,2,18,5,2,0,0,0,0,0,1,0,0,0,1
834,1,32.00,7.00,1,4,16,1,4,7,1,0,1,0,0,0,1,0,0
843,0,27.00,4.00,0,3,16,5,4,0,0,0,1,0,0,0,0,1,0
848,0,27.00,10.00,1,2,16,1,4,0,0,0,1,0,0,0,0,0,1
851,0,32.00,7.00,1,4,16,1,3,0,0,0,0,1,0,0,1,0,0
854,0,37.00,15.00,1,4,14,5,4,0,0,0,1,0,0,0,1,0,0
856,0,42.00,15.00,1,5,17,6,2,0,0,0,0,0,1,1,0,0,0
857,1,32.00,1.50,1,4,14,6,5,0,0,1,0,0,0,0,1,0,0
858,1,57.00,15.00,1,1,17,4,4,2,1,0,1,0,0,0,0,0,0
859,0,32.00,4.00,1,3,17,5,3,0,0,0,0,1,0,0,0,1,0
863,0,37.00,7.00,0,4,18,5,5,0,0,1,0,0,0,0,1,0,0
865,0,22.00,0.42,1,3,14,3,5,0,0,1,0,0,0,0,0,1,0
867,0,27.00,7.00,1,4,14,1,5,0,0,1,0,0,0,0,1,0,0
870,1,27.00,0.75,0,3,16,5,5,0,0,1,0,0,0,0,0,1,0
873,1,27.00,4.00,1,2,20,5,5,0,0,1,0,0,0,0,0,0,1
875,1,32.00,10.00,1,4,16,4,5,0,0,1,0,0,0,0,1,0,0
876,1,32.00,15.00,1,1,14,5,5,0,0,1,0,0,0,0,0,0,0
877,1,22.00,0.75,0,3,17,4,5,0,0,1,0,0,0,0,0,1,0
880,0,27.00,7.00,1,4,17,1,4,0,0,0,1,0,0,0,1,0,0
885,0,42.00,15.00,1,4,14,5,2,7,1,0,0,0,1,0,1,0,0
893,1,37.00,10.00,1,1,18,5,3,7,1,0,0,1,0,0,0,0,0
903,1,27.00,0.42,1,4,20,5,4,0,0,0,1,0,0,0,1,0,0
904,1,37.00,15.00,1,4,20,5,4,0,0,0,1,0,0,0,1,0,0
905,0,37.00,15.00,1,2,14,1,3,0,0,0,0,1,0,0,0,0,1
908,1,22.00,4.00,1,1,18,5,4,0,0,0,1,0,0,0,0,0,0
909,1,37.00,15.00,1,4,17,5,3,0,0,0,0,1,0,0,1,0,0
910,0,22.00,1.50,0,2,14,4,5,0,0,1,0,0,0,0,0,0,1
912,1,52.00,15.00,1,4,14,6,2,0,0,0,0,0,1,0,1,0,0
914,0,22.00,1.50,0,4,17,5,5,0,0,1,0,0,0,0,1,0,0
915,1,32.00,4.00,1,5,14,3,5,0,0,1,0,0,0,1,0,0,0
916,1,32.00,4.00,1,2,14,3,5,0,0,1,0,0,0,0,0,0,1
920,0,22.00,1.50,0,3,16,6,5,0,0,1,0,0,0,0,0,1,0
921,1,27.00,0.75,0,2,18,3,3,0,0,0,0,1,0,0,0,0,1
925,0,22.00,7.00,1,2,14,5,2,0,0,0,0,0,1,0,0,0,1
926,0,27.00,0.75,0,2,17,5,3,0,0,0,0,1,0,0,0,0,1
927,1,42.00,15.00,1,3,17,6,1,3,1,0,0,0,0,0,0,1,0
928,0,52.00,15.00,1,3,14,4,4,1,1,0,1,0,0,0,0,1,0
929,0,37.00,15.00,1,4,12,1,2,0,0,0,0,0,1,0,1,0,0
931,0,22.00,1.50,0,1,14,1,5,0,0,1,0,0,0,0,0,0,0
933,0,27.00,7.00,1,3,17,5,3,2,1,0,0,1,0,0,0,1,0
945,0,37.00,10.00,0,2,12,4,4,0,0,0,1,0,0,0,0,0,1
947,0,37.00,15.00,1,4,18,5,3,0,0,0,0,1,0,0,1,0,0
949,0,42.00,15.00,1,3,12,3,3,0,0,0,0,1,0,0,0,1,0
950,1,22.00,4.00,0,2,18,5,5,0,0,1,0,0,0,0,0,0,1
951,1,32.00,7.00,1,2,12,4,2,12,1,0,0,0,1,0,0,0,1
961,1,52.00,7.00,1,2,20,6,2,0,0,0,0,0,1,0,0,0,1
965,1,27.00,0.75,0,2,17,5,5,0,0,1,0,0,0,0,0,0,1
966,0,27.00,4.00,0,2,17,4,5,0,0,1,0,0,0,0,0,0,1
967,1,42.00,1.50,0,5,20,6,5,0,0,1,0,0,0,1,0,0,0
968,1,22.00,4.00,0,4,14,2,5,1,1,1,0,0,0,0,1,0,0
972,1,27.00,7.00,1,3,18,6,4,3,1,0,1,0,0,0,0,1,0
975,0,37.00,15.00,1,1,18,5,5,12,1,1,0,0,0,0,0,0,0
977,0,32.00,15.00,1,3,17,1,3,7,1,0,0,1,0,0,0,1,0
981,0,27.00,7.00,0,2,17,5,5,7,1,1,0,0,0,0,0,0,1
986,0,32.00,7.00,1,3,17,5,3,1,1,0,0,1,0,0,0,1,0
987,1,22.00,1.50,0,4,17,6,5,0,0,1,0,0,0,0,1,0,0
990,1,22.00,4.00,0,4,17,5,3,0,0,0,0,1,0,0,1,0,0
992,0,22.00,4.00,1,1,14,5,4,0,0,0,1,0,0,0,0,0,0
995,1,37.00,15.00,1,5,20,4,5,0,0,1,0,0,0,1,0,0,0
"1,002",1,32.00,1.50,1,2,14,2,4,1,1,0,1,0,0,0,0,0,1
"1,007",0,42.00,15.00,1,4,14,1,2,12,1,0,0,0,1,0,1,0,0
"1,009",0,37.00,10.00,1,3,16,6,3,0,0,0,0,1,0,0,0,1,0
"1,011",1,32.00,10.00,1,3,14,5,4,7,1,0,1,0,0,0,0,1,0
"1,021",1,42.00,15.00,1,4,17,6,5,0,0,1,0,0,0,0,1,0,0
"1,026",0,47.00,15.00,1,4,17,5,5,0,0,1,0,0,0,0,1,0,0
"1,027",1,22.00,1.50,0,4,16,5,4,0,0,0,1,0,0,0,1,0,0
"1,030",0,32.00,10.00,1,3,12,1,4,0,0,0,1,0,0,0,0,1,0
"1,031",0,22.00,7.00,1,1,14,3,5,0,0,1,0,0,0,0,0,0,0
"1,034",0,32.00,10.00,1,4,17,5,4,0,0,0,1,0,0,0,1,0,0
"1,035",1,37.00,4.00,1,1,20,6,3,7,1,0,0,1,0,0,0,0,0
"1,037",1,27.00,1.50,1,2,16,2,4,0,0,0,1,0,0,0,0,0,1
