Player,Team,Salary
A.J. Price,Indiana Pacers,458
Aaron Brooks,Houston Rockets,1119
Acie Law,Atlanta Hawks,2072
Alex Acker,Los Angeles Clippers,712
Allen Iverson,Philadelphia 76ers,1030
Andre Iguodala,Philadelphia 76ers,12487
Andre Miller,Portland Trail Blazers,6731
Anthony Carter,Denver Nuggets,1306
Anthony Johnson,Orlando Magic,1900
Anthony Morrow,Golden State Warriors,736
Anthony Parker,Cleveland Cavaliers,2644
Anthony Roberson,New York Knicks,798
Antoine Wright,Toronto Raptors,1800
Antonio Daniels,Minnesota Timberwolves,6600
Arron Afflalo,Denver Nuggets,1086
Baron Davis,Los Angeles Clippers,11250
Ben Gordon,Detroit Pistons,10000
Beno Udrih,Sacramento Kings,6032
Bill Walker,New York Knicks,736
Blake Ahearn,San Antonio Spurs,205
Bobby Jackson,Sacramento Kings,6090
Brandon Jennings,Milwaukee Bucks,2169
Brandon Roy,Portland Trail Blazers,3911
Brandon Rush,Indiana Pacers,1934
Brent Barry,Houston Rockets,2063
Brevin Knight,Utah Jazz,2000
C.J. Watson,Golden State Warriors,1000
Carlos Arroyo,Miami Heat,1108
Carlos Delfino,Milwaukee Bucks,3500
Charlie Bell,Golden State Warriors,3603
Chauncey Billups,Denver Nuggets,12100
Chris Douglas-Roberts,Milwaukee Bucks,736
Chris Duhon,New York Knicks,6032
Chris Paul,New Orleans Hornets,13521
Chris Quinn,New Jersey Nets,1075
Chucky Atkins,Minnesota Timberwolves,760
CJ Watson,Golden State Warriors,712
Courtney Lee,New Jersey Nets,1264
Curtis Jerrells,San Antonio Spurs,137
Cuttino Mobley,New York Knicks,9500
D.J. Augustin,Charlotte Bobcats,2375
Daequan Cook,Oklahoma City Thunder,1362
Dahntay Jones,Indiana Pacers,2500
Damien Wilkins,Minnesota Timberwolves,3300
Damon Jones,Milwaukee Bucks,4460
Damon Stoudamire,Memphis Grizzlies,1631
Daniel Gibson,Cleveland Cavaliers,4089
Danny Green,Cleveland Cavaliers,458
Darren Collison,New Orleans Hornets,1266
Dee Brown ,Phoenix Suns,243
Delonte West,Cleveland Cavaliers,4254
DeMarcus Nelson,Golden State Warriors,182
Derek Fisher,Los Angeles Lakers,4700
Deron Williams,Utah Jazz,13521
Derrick Rose,Chicago Bulls,5184
DeShawn Stevenson,Dallas Mavericks,3884
Devin Brown,Chicago Bulls,1108
Devin Harris,New Jersey Nets,8400
Dorrell Wright,Miami Heat,2887
Dwyane Wade,Miami Heat,15780
Earl Boykins,Washington Wizards,1191
Earl Watson,Indiana Pacers,2800
Eddie House,New York Knicks,2862
Eric Gordon,Los Angeles Clippers,2623
Eric Maynor,Oklahoma City Thunder,1319
Eric Snow,Cleveland Cavaliers,7313
Flip Murray,Chicago Bulls,1990
Francisco Garcia,Sacramento Kings,5800
Fred Jones,Los Angeles Clippers,617
Gabe Pruitt,Boston Celtics,712
George Hill,San Antonio Spurs,1082
Gerald Green,Dallas Mavericks,826
Gerald Henderson,Charlotte Bobcats,1957
Gilbert Arenas,Washington Wizards,16192
Goran Dragic,Phoenix Suns,1836
Greg Buckner,Dallas Mavericks,1062
Hassan Adams,Los Angeles Clippers,301
J.J. Redick,Orlando Magic,2839
J.R. Giddens,New York Knicks,1029
J.R. Smith,Denver Nuggets,5508
Jacque Vaughn,San Antonio Spurs,1262
Jamaal Tinsley,Indiana Pacers,5100
Jamal Crawford,Atlanta Hawks,9360
Jameer Nelson,Orlando Magic,7600
James Harden,Oklahoma City Thunder,4004
JamesOn Curry,Chicago Bulls,100
Jannero Pargo,Chicago Bulls,1990
Jarrett Jack,Toronto Raptors,5000
Jason Hart,Phoenix Suns,445
Jason Kapono,Philadelphia 76ers,6213
Jason Kidd,Dallas Mavericks,8100
Jason Richards,Miami Heat,442
Jason Richardson,Phoenix Suns,13333
Jason Terry,Dallas Mavericks,9575
Jason Williams,Orlando Magic,1306
Javaris Crittenton,Washington Wizards,1478
Jeff Teague,Atlanta Hawks,1374
Jermaine Taylor,Houston Rockets,750
Jerry Stackhouse,Milwaukee Bucks,676
Jerryd Bayless,Portland Trail Blazers,2143
Jodie Meeks,Philadelphia 76ers,650
Joe Johnson,Atlanta Hawks,14977
Jonny Flynn,Minnesota Timberwolves,2969
Jordan Farmar,Los Angeles Lakers,1080
Jose Calderon,Toronto Raptors,8219
Jose Juan Barea ,Dallas Mavericks,1620
Jrue Holiday,Philadelphia 76ers,1514
Juan Dixon,Washington Wizards,998
Kareem Rush,Philadelphia 76ers,998
Kevin Martin,Houston Rockets,10180
Kevin Ollie,Oklahoma City Thunder,1306
Keyon Dooling,New Jersey Nets,3500
Kirk Hinrich,Chicago Bulls,9500
Kobe Bryant,Los Angeles Lakers,21263
Kyle Korver,Utah Jazz,5264
Kyle Lowry,Houston Rockets,2035
Kyle Weaver,Oklahoma City Thunder,871
Larry Hughes,Charlotte Bobcats,261
Leandro Barbosa,Phoenix Suns,6600
Lester Hudson,Memphis Grizzlies,458
Lester Hudson,Boston Celtics,194
Lindsey Hunter,Chicago Bulls,1306
Louis Williams,Philadelphia 76ers,4973
Luke Ridnour,Milwaukee Bucks,6500
Luther Head,Indiana Pacers,885
Malik Hairston,San Antonio Spurs,736
Manu Ginobili,San Antonio Spurs,10728
Marco Belinelli,Toronto Raptors,1548
Marcus Banks,Toronto Raptors,4554
Marcus Landry,Boston Celtics,458
Marcus Thornton,New Orleans Hornets,458
Mardy Collins,Los Angeles Clippers,1035
Mario Chalmers,Miami Heat,756
Mario West,Atlanta Hawks,456
Marko Jaric,Memphis Grizzlies,7100
Marquis Daniels,Boston Celtics,1990
Martell Webster,Minnesota Timberwolves,4344
Matt Carroll,Dallas Mavericks,4700
Maurice Williams,Cleveland Cavaliers,8353
Michael Redd,Milwaukee Bucks,17040
Mickael Pietrus,Orlando Magic,5292
Mike Bibby,Atlanta Hawks,6218
Mike Conley,Memphis Grizzlies,3884
Mike James,Washington Wizards,6467
Mike Miller,Washington Wizards,9881
Mike Taylor,Los Angeles Clippers,500
Mike Wilks,Oklahoma City Thunder,152
Mo Williams,Cleveland Cavaliers,8860
Monta Ellis,Golden State Warriors,11000
Morris Almond,Utah Jazz,1081
Morris Peterson,New Orleans Hornets,5800
Nate Robinson,Boston Celtics,4000
Nick Young,Washington Wizards,1715
O.J. Mayo,Memphis Grizzlies,4639
Patrick Mills,Portland Trail Blazers,458
Quincy Douby,Toronto Raptors,106
Rafer Alston,New Jersey Nets,4300
Raja Bell,Golden State Warriors,5250
Rajon Rondo,Boston Celtics,2095
Ramon Sessions,Minnesota Timberwolves,3671
Randy Foye,Washington Wizards,3576
Rashad McCants,Minnesota Timberwolves,2620
Ray Allen,Boston Celtics,18777
Raymond Felton,Charlotte Bobcats,5501
Reggie Williams,Golden State Warriors,121
Richard Hamilton,Detroit Pistons,11625
Roddy Beaubois,Dallas Mavericks,1075
Rodney Stuckey,Detroit Pistons,1805
Roger Mason,San Antonio Spurs,3780
Roko Ukic,Milwaukee Bucks,572
Ronald Murray,Atlanta Hawks,1500
Ronnie Brewer,Memphis Grizzlies,2717
Ronnie Price,Utah Jazz,1250
Royal Ivey,Milwaukee Bucks,1050
Rudy Fernandez,Portland Trail Blazers,1165
Russell Westbrook,Oklahoma City Thunder,3756
Sam Cassell,Sacramento Kings,1262
Sasha Pavlovic,Minnesota Timberwolves,1500
Sasha Vujacic,Los Angeles Lakers,4525
Sean Singletary,Charlotte Bobcats,442
Sebastian Telfair,Cleveland Cavaliers,2500
Sergio Rodriguez,New York Knicks,1892
Shannon Brown,Los Angeles Lakers,798
Shaun Livingston,Oklahoma City Thunder,322
Shaun Livingston,Washington Wizards,245
Smush Parker,Miami Heat,2430
Sonny Weems,Toronto Raptors,736
Speedy Claxton,Golden State Warriors,5209
Stephen Curry,Golden State Warriors,2711
Stephen Graham,Charlotte Bobcats,825
Stephon Marbury,New York Knicks,20841
Steve Blake,Portland Trail Blazers,4590
Steve Francis,Memphis Grizzlies,18364
Steve Nash,Phoenix Suns,13125
Sundiata Gaines,Utah Jazz,272
T.J. Ford,Indiana Pacers,8500
Tarence Kinsey,Cleveland Cavaliers,798
Thomas Gardner,Atlanta Hawks,712
Toney Douglas,New York Knicks,996
Tony Allen,Boston Celtics,2500
Tony Parker,San Antonio Spurs,12600
Tracy McGrady,New York Knicks,22483
Travis Deiner,Portland Trail Blazers,229
Travis Diener,Indiana Pacers,1740
Troy Hudson,Minnesota Timberwolves,5041
Ty Lawson,Denver Nuggets,1439
Tyreke Evans,Sacramento Kings,3610
Tyronn Lue,Milwaukee Bucks,2500
Vince Carter,Orlando Magic,16123
Wayne Ellington,Minnesota Timberwolves,1004
Wesley Matthews,Utah Jazz,458
Will Bynum,Detroit Pistons,825
Willie Green,Philadelphia 76ers,3682
Willie Solomon,Toronto Raptors,712